year,Region,cantidad_incendios
2002.0,Northern America,9
2002.0,Eastern Europe,3
2002.0,South America,2
2002.0,South-Eastern Asia,2
2002.0,Australia and New Zealand,1
2002.0,Central America,1
2002.0,Eastern Asia,1
2002.0,Middle Africa,1
2002.0,Southern Africa,1
2002.0,Southern Asia,1
2003.0,Northern America,4
2003.0,Southern Europe,3
2003.0,Central America,2
2003.0,Australia and New Zealand,1
2003.0,Eastern Asia,1
2003.0,Eastern Europe,1
2003.0,South America,1
2003.0,Western Europe,1
2004.0,Northern America,3
2004.0,Southern Europe,2
2004.0,Eastern Asia,1
2004.0,Eastern Europe,1
2004.0,Western Africa,1
2005.0,Northern America,3
2005.0,South-Eastern Asia,3
2005.0,Southern Europe,2
2005.0,Australia and New Zealand,1
2005.0,Caribbean,1
2005.0,Eastern Asia,1
2005.0,South America,1
2005.0,Western Europe,1
2006.0,Australia and New Zealand,3
2006.0,Northern America,3
2006.0,Central America,1
2006.0,South-Eastern Asia,1
2006.0,Southern Europe,1
2007.0,Southern Europe,8
2007.0,Northern America,3
2007.0,Eastern Europe,2
2007.0,Southern Africa,2
2007.0,Northern Africa,1
2007.0,South America,1
2007.0,Western Asia,1
2008.0,Northern America,2
2008.0,Eastern Africa,1
2008.0,Southern Africa,1
2008.0,Western Asia,1
2009.0,Southern Europe,4
2009.0,Northern America,2
2009.0,Australia and New Zealand,1
2009.0,Middle Africa,1
2009.0,Western Europe,1
2010.0,Eastern Europe,2
2010.0,South America,2
2010.0,Eastern Asia,1
2010.0,Middle Africa,1
2010.0,Western Asia,1
2011.0,Northern America,4
2011.0,South America,2
2011.0,Australia and New Zealand,1
2011.0,Central America,1
2012.0,Northern America,2
2012.0,South America,2
2012.0,Eastern Europe,1
2012.0,Southern Europe,1
2013.0,Northern America,5
2013.0,Australia and New Zealand,2
2013.0,Western Africa,2
2013.0,Southern Europe,1
2014.0,Australia and New Zealand,2
2014.0,Northern America,1
2014.0,South America,1
2015.0,Northern America,5
2015.0,Australia and New Zealand,3
2015.0,South America,2
2015.0,Eastern Europe,1
2015.0,Middle Africa,1
2015.0,South-Eastern Asia,1
2016.0,Northern America,5
2016.0,Southern Asia,2
2016.0,Australia and New Zealand,1
2016.0,Southern Europe,1
2016.0,Western Asia,1
2017.0,Southern Europe,6
2017.0,Northern America,4
2017.0,Australia and New Zealand,1
2017.0,Northern Africa,1
2017.0,South America,1
2017.0,Southern Africa,1
2017.0,Western Europe,1
2018.0,Northern America,4
2018.0,Southern Europe,3
2018.0,Northern Europe,2
2018.0,Southern Asia,1
2019.0,South America,5
2019.0,Australia and New Zealand,2
2019.0,Eastern Asia,2
2019.0,Northern America,2
2019.0,Eastern Europe,1
2019.0,Northern Africa,1
2019.0,South-Eastern Asia,1
2020.0,Western Asia,3
2020.0,Eastern Europe,2
2020.0,Australia and New Zealand,1
2020.0,Eastern Asia,1
2020.0,Northern America,1
2021.0,Northern America,5
2021.0,Southern Europe,3
2021.0,Eastern Europe,2
2021.0,Northern Africa,2
2021.0,Western Asia,2
2021.0,Australia and New Zealand,1
2021.0,South America,1
