Disaster Type,Region,cantidad_desastres
Flood,South-Eastern Asia,470
Flood,Southern Asia,462
Storm,Eastern Asia,347
Flood,South America,332
Flood,Eastern Africa,313
Storm,Northern America,302
Storm,South-Eastern Asia,280
Flood,Eastern Asia,255
Flood,Western Africa,213
Storm,Southern Asia,175
Storm,Caribbean,170
Flood,Central America,160
Flood,Eastern Europe,152
Flood,Southern Europe,149
Epidemic,Eastern Africa,146
Epidemic,Western Africa,145
Storm,Central America,136
Earthquake,Eastern Asia,126
Flood,Western Asia,124
Flood,Northern America,120
Flood,Middle Africa,115
Epidemic,Middle Africa,114
Storm,Western Europe,113
Storm,Eastern Africa,98
Earthquake,Southern Asia,97
Flood,Northern Africa,96
Earthquake,South-Eastern Asia,89
Flood,Caribbean,81
Landslide,Southern Asia,75
Extreme temperature,Eastern Europe,71
Landslide,South-Eastern Asia,71
Wildfire,Northern America,67
Flood,Western Europe,62
Drought,Eastern Africa,62
Extreme temperature,Western Europe,59
Extreme temperature,Southern Asia,58
Extreme temperature,Southern Europe,57
Storm,Eastern Europe,57
Landslide,Eastern Asia,51
Storm,Southern Europe,49
Flood,Southern Africa,47
Flood,Australia and New Zealand,46
Epidemic,Southern Asia,45
Storm,Western Asia,44
Storm,Australia and New Zealand,44
Flood,Central Asia,41
Epidemic,South-Eastern Asia,41
Landslide,South America,41
Storm,South America,41
Storm,Melanesia,40
Storm,Northern Europe,39
Wildfire,Southern Europe,35
Extreme temperature,Eastern Asia,34
Earthquake,South America,34
Volcanic activity,South-Eastern Asia,33
Drought,South America,33
Earthquake,Southern Europe,32
Extreme temperature,South America,31
Epidemic,Northern Africa,31
Flood,Melanesia,30
Flood,Northern Europe,29
Earthquake,Central America,28
Earthquake,Western Asia,28
Landslide,Eastern Africa,28
Volcanic activity,South America,28
Epidemic,South America,27
Drought,South-Eastern Asia,26
Storm,Southern Africa,25
Drought,Eastern Asia,22
Drought,Western Africa,22
Storm,Polynesia,22
Wildfire,Australia and New Zealand,21
Wildfire,South America,21
Epidemic,Central America,21
Drought,Central America,21
Extreme temperature,Northern Europe,21
Earthquake,Central Asia,19
Storm,Micronesia,19
Landslide,Central Asia,19
Landslide,Central America,19
Storm,Middle Africa,17
Storm,Western Africa,17
Epidemic,Caribbean,16
Extreme temperature,Northern America,16
Wildfire,Eastern Europe,16
Drought,Southern Asia,16
Drought,Southern Africa,16
Volcanic activity,Melanesia,15
Earthquake,Eastern Africa,15
Epidemic,Western Asia,14
Epidemic,Eastern Asia,14
Earthquake,Melanesia,13
Storm,Northern Africa,13
Landslide,Western Asia,12
Epidemic,Southern Africa,12
Drought,Caribbean,11
Earthquake,Caribbean,11
Landslide,Melanesia,10
Extreme temperature,Northern Africa,10
Epidemic,Melanesia,10
Drought,Northern America,10
Insect infestation,Western Africa,9
Insect infestation,Eastern Africa,9
Earthquake,Northern Africa,9
Volcanic activity,Central America,9
Wildfire,Western Asia,9
Extreme temperature,Central America,9
Wildfire,Eastern Asia,8
Wildfire,South-Eastern Asia,8
Landslide,Middle Africa,8
Drought,Middle Africa,8
Earthquake,Eastern Europe,8
Earthquake,Northern America,7
Extreme temperature,Western Asia,7
Drought,Eastern Europe,6
Volcanic activity,Eastern Africa,6
Drought,Southern Europe,6
Epidemic,Southern Europe,5
Earthquake,Australia and New Zealand,5
Flood,Micronesia,5
Extreme temperature,Central Asia,5
Wildfire,Northern Africa,5
Wildfire,Central America,5
Epidemic,Northern America,5
Wildfire,Southern Africa,5
Drought,Polynesia,4
Drought,Australia and New Zealand,4
Epidemic,Central Asia,4
Epidemic,Northern Europe,4
Epidemic,Western Europe,4
Landslide,Western Africa,4
Wildfire,Middle Africa,4
Wildfire,Western Europe,4
Wildfire,Southern Asia,4
Epidemic,Polynesia,4
Mass movement (dry),Eastern Asia,3
Wildfire,Western Africa,3
Landslide,Northern America,3
Landslide,Southern Europe,3
Earthquake,Middle Africa,3
Epidemic,Australia and New Zealand,3
Earthquake,Polynesia,3
Extreme temperature,Australia and New Zealand,3
Landslide,Eastern Europe,3
Insect infestation,Northern Africa,3
Mass movement (dry),South America,2
Earthquake,Western Europe,2
Wildfire,Northern Europe,2
Volcanic activity,Southern Europe,2
Drought,Western Asia,2
Epidemic,Eastern Europe,2
Drought,Melanesia,2
Drought,Northern Europe,2
Drought,Central Asia,2
Drought,Northern Africa,2
Earthquake,Southern Africa,2
Drought,Micronesia,2
Flood,Polynesia,2
Insect infestation,Southern Asia,2
Extreme temperature,South-Eastern Asia,2
Extreme temperature,Southern Africa,2
Storm,Central Asia,2
Landslide,Western Europe,2
Volcanic activity,Caribbean,2
Volcanic activity,Middle Africa,2
Glacial lake outburst,Southern Asia,2
Landslide,Northern Europe,2
Mass movement (dry),Southern Asia,2
Epidemic,Micronesia,1
Animal accident,Western Africa,1
Earthquake,Northern Europe,1
Insect infestation,Middle Africa,1
Extreme temperature,Western Africa,1
Impact,Eastern Europe,1
Landslide,Caribbean,1
Landslide,Northern Africa,1
Insect infestation,Australia and New Zealand,1
Volcanic activity,Australia and New Zealand,1
Mass movement (dry),Northern Africa,1
Mass movement (dry),South-Eastern Asia,1
Mass movement (dry),Western Europe,1
Mass movement (dry),Central America,1
Mass movement (dry),Melanesia,1
Wildfire,Caribbean,1
Volcanic activity,Western Asia,1
Volcanic activity,Western Africa,1
Volcanic activity,Northern Europe,1
Volcanic activity,Micronesia,1
Volcanic activity,Eastern Asia,1
Volcanic activity,Northern America,1
Wildfire,Eastern Africa,1
